name,price,depreciation,registration_date,mileage,owners,listing_url,brand
Suzuki Landy Hybrid 1.8A G,228000,25500,20-Jun-23,10500,1,https://www.sgcarmart.com/used_cars/info.php?ID=1354265&DL=1000&utm_content=SLeligible,suzuki
BMW 1 Series 116d,57800,12300,27-Apr-18,0,4,https://www.sgcarmart.com/used_cars/info.php?ID=1355484&DL=4119,bmw
BMW 3 Series 318i Shadow Edition,72000,14630,26-Jun-18,105577,2,https://www.sgcarmart.com/used_cars/info.php?ID=1289423&DL=4517&utm_content=SLeligible,bmw
Mercedes-Benz C-Class C180 Mild Hybrid Avantgarde,200800,22930,29-Jul-22,40000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1322014&DL=2410&utm_content=SLeligible,mercedes-benz
Suzuki Landy Hybrid 1.8A G,225000,24950,24-Jul-23,11000,,https://www.sgcarmart.com/used_cars/info.php?ID=1354100&DL=4715,suzuki
Suzuki Landy Hybrid 1.8A G,226000,25040,27-Jul-23,10000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1354079&DL=4715,suzuki
Suzuki Landy Hybrid 1.8A G,230800,25830,20-Jun-23,9000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1354063&DL=4715,suzuki
Subaru Impreza WRX 2.5M STI-S (COE till 11/2027),55500,18500,27-Nov-07,0,6,https://www.sgcarmart.com/used_cars/info.php?ID=1320330&DL=1220&utm_content=SLeligible,subaru
Mercedes-Benz C-Class C200K (COE till 11/2027),31800,10560,3-Jan-08,0,4,https://www.sgcarmart.com/used_cars/info.php?ID=1354863&DL=4119&utm_content=SLeligible,mercedes-benz
Volvo XC90 T5 Momentum,175800,29350,26-Jul-19,45300,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355164&DL=4475,volvo
Suzuki Landy Hybrid 1.8A G,226800,25130,28-Jul-23,10500,1,https://www.sgcarmart.com/used_cars/info.php?ID=1354099&DL=4715,suzuki
Suzuki Landy Hybrid 1.8A G,226500,25090,28-Jul-23,9500,1,https://www.sgcarmart.com/used_cars/info.php?ID=1354090&DL=4715,suzuki
Suzuki Landy Hybrid 1.8A G,227000,24640,4-Oct-23,9800,1,https://www.sgcarmart.com/used_cars/info.php?ID=1345638&DL=1000&utm_content=SLeligible,suzuki
Suzuki Landy Hybrid 1.8A G,228000,25500,20-Jun-23,10500,1,https://www.sgcarmart.com/used_cars/info.php?ID=1354265&DL=1000&utm_content=SLeligible,suzuki
Mercedes-Benz C-Class C180 Mild Hybrid Avantgarde,200800,22930,29-Jul-22,40000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1322014&DL=2410&utm_content=SLeligible,mercedes-benz
Citroen C4 1.2A PureTech,20800,9010,27-Sept-16,0,3,https://www.sgcarmart.com/used_cars/info.php?ID=1354869&DL=4119,citroen
Toyota Wish 1.8A X,36800,12620,12-Jan-17,0,2,https://www.sgcarmart.com/used_cars/info.php?ID=1355476&DL=4119,toyota
Suzuki Landy Hybrid 1.8A G,227000,25420,16-Jun-23,12500,1,https://www.sgcarmart.com/used_cars/info.php?ID=1354112&DL=4715,suzuki
Audi A8L Mild Hybrid 3.0A TFSI Quattro Tip Sunroof,240000,29730,5-Jan-21,40000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1355092&DL=3707,audi
Toyota Alphard Hybrid 2.5A SR C-Package Moonroof,212800,29390,14-Aug-20,48000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1323843&DL=3175&utm_content=SLeligible,toyota
Mercedes-Benz S-Class S500L Mild Hybrid AMG Line 4MATIC Premium Plus,360888,40660,16-Aug-21,33800,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355631&DL=3003,mercedes-benz
SEAT Leon Mild Hybrid 1.5A TSI FR,128800,15230,27-Dec-22,19320,1,https://www.sgcarmart.com/used_cars/info.php?ID=1310556&DL=4413&utm_content=SLeligible,seat
Mercedes-Benz AMG GT R Roadster,530800,62450,12-Apr-21,11000,4,https://www.sgcarmart.com/used_cars/info.php?ID=1271015&DL=4075&utm_content=SLeligible,mercedes-benz
Mercedes-Benz CLA-Class CLA180 Shooting Brake Urban,79800,15950,5-Oct-18,86000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1329650&DL=2725&utm_content=SLeligible,mercedes-benz
Honda Fit 1.3A,108688,12390,21-Jun-23,0,1,https://www.sgcarmart.com/used_cars/info.php?ID=1352503&DL=4721,honda
Toyota Raize 1.2A X,117688,13470,14-Jun-23,0,1,https://www.sgcarmart.com/used_cars/info.php?ID=1352484&DL=4721,toyota
Mercedes-Benz CLA-Class CLA180 AMG Line Premium Plus,173688,19740,13-Jun-22,0,1,https://www.sgcarmart.com/used_cars/info.php?ID=1352471&DL=4721,mercedes-benz
BMW 2 Series 216d Active Tourer,32800,14980,3-Jun-16,71000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1356034&DL=3175,bmw
Mercedes-Benz S-Class S320L,190800,28690,28-Feb-19,89996,2,https://www.sgcarmart.com/used_cars/info.php?ID=1356031&DL=2291,mercedes-benz
Suzuki Vitara 1.6A GLX,34800,11010,17-Jul-17,166000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1356030&DL=4343,suzuki
BMW X5 xDrive35i 7-Seater (COE till 10/2030),87800,14800,16-Nov-10,134589,3,https://www.sgcarmart.com/used_cars/info.php?ID=1355734&DL=2291&utm_content=SLeligible,bmw
Honda Civic Type-R 2.0M VTEC Turbo GT,126000,32330,14-Dec-17,89000,3,https://www.sgcarmart.com/used_cars/info.php?ID=1356027&DL=3954,honda
Porsche Cayenne Coupe 3.0A Tip,438000,45250,8-Mar-23,37000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1344770&DL=4346&utm_content=SLeligible,porsche
Honda Civic 1.6A VTi (COE till 11/2026),20800,10430,25-Nov-06,161982,1,https://www.sgcarmart.com/used_cars/info.php?ID=1356022&DL=4412,honda
Honda Jazz 1.5A (COE till 08/2029),52800,11080,19-Nov-14,98000,3,https://www.sgcarmart.com/used_cars/info.php?ID=1348172&DL=4038&utm_content=SLeligible,honda
Honda Fit 1.3A,77800,12400,26-Nov-20,38000,3,https://www.sgcarmart.com/used_cars/info.php?ID=1346966&DL=4038&utm_content=SLeligible,honda
Mercedes-Benz E-Class E200d,72800,19560,12-Jul-17,130000,3,https://www.sgcarmart.com/used_cars/info.php?ID=1220859&DL=3721&utm_content=SLeligible,mercedes-benz
Toyota Corolla Altis 1.6A,34500,11340,25-Jan-17,80000,3,https://www.sgcarmart.com/used_cars/info.php?ID=1356024&DL=3951,toyota
Honda Accord Euro R 2.0M (COE till 05/2027),50800,20240,14-Jun-07,0,5,https://www.sgcarmart.com/used_cars/info.php?ID=1356015&DL=4502&utm_content=SLeligible,honda
Honda Vezel Hybrid 1.5A X,51800,16110,19-Dec-17,27500,2,https://www.sgcarmart.com/used_cars/info.php?ID=1356013&DL=1000&utm_content=SLeligible,honda
Toyota Estima 2.4A Aeras Moonroof,91800,17540,11-Dec-18,118000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1350025&DL=4073,toyota
Mazda 3 1.5A Deluxe Sunroof,15800,13360,19-Aug-15,98000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1348361&DL=2434,mazda
Mercedes-Benz A-Class A45 AMG 4MATIC Sunroof,139800,35860,1-Nov-17,61000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1327744&DL=2434&utm_content=SLeligible,mercedes-benz
Audi A5 Cabriolet 2.0A TFSI Quattro S-tronic (COE till 11/2030),69800,11640,25-Nov-10,0,4,https://www.sgcarmart.com/used_cars/info.php?ID=1225746&DL=3721&utm_content=SLeligible,audi
Nissan Note 1.2A DIG-S,15800,11750,14-Jan-16,113117,2,https://www.sgcarmart.com/used_cars/info.php?ID=1356021&DL=4412,nissan
BMW 5 Series 520d xDrive M-Sport,85800,16300,30-Nov-17,125000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1356019&DL=3758,bmw
Citroen Grand C4 Picasso Diesel 1.6A BlueHDi Panoramic Roof,30000,10290,17-Mar-17,0,3,https://www.sgcarmart.com/used_cars/info.php?ID=1355935&DL=3758,citroen
Hyundai Avante 1.6A,88800,14440,13-Nov-20,62168,2,https://www.sgcarmart.com/used_cars/info.php?ID=1356014&DL=4385,hyundai
Mitsubishi Pajero 3.8A (COE till 02/2029),59800,14140,18-Feb-09,153000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1355337&DL=2305&utm_content=SLeligible,mitsubishi
Toyota Alphard 2.5A Elegance,180800,23590,30-Mar-21,41000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1347985&DL=4038&utm_content=SLeligible,toyota
Jaguar XE 2.0A TSS,47800,16550,24-Mar-16,71000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1341117&DL=2434&utm_content=SLeligible,jaguar
Mercedes-Benz A-Class A200 Style,35800,13560,26-Sept-16,141000,3,https://www.sgcarmart.com/used_cars/info.php?ID=1339624&DL=4717&utm_content=SLeligible,mercedes-benz
BMW M4 Coupe,268000,,26-Dec-14,168000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1356004&DL=1000,bmw
Peugeot 3008 1.2A PureTech EAT6 Active,45188,12990,3-Nov-17,122000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1355981&DL=4633,peugeot
Audi A4 1.4A TFSI S-tronic Design,33000,13750,29-Jan-16,155000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1354870&DL=4647,audi
Toyota Yaris Cross Hybrid 1.5A Active,144888,14510,29-Jan-24,12850,1,https://www.sgcarmart.com/used_cars/info.php?ID=1342709&DL=2097&utm_content=SLeligible,toyota
BMW 3 Series 330i M-Sport,185800,24560,14-Dec-20,66700,2,https://www.sgcarmart.com/used_cars/info.php?ID=1356009&DL=3283,bmw
Mitsubishi Attrage 1.2A,30800,13130,23-Jan-17,86000,3,https://www.sgcarmart.com/used_cars/info.php?ID=1355802&DL=3758,mitsubishi
Mercedes-Benz C-Class C180 Avantgarde,90800,18760,23-Jul-18,76099,1,https://www.sgcarmart.com/used_cars/info.php?ID=1356007&DL=1213,mercedes-benz
Mitsubishi Colt Version-R 1.5A Turbo (COE till 05/2028),36900,10600,21-May-08,130000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1356003&DL=3271&utm_content=SLeligible,mitsubishi
Audi Q3 1.4A TFSI S-tronic,110800,18560,17-Jan-20,33232,1,https://www.sgcarmart.com/used_cars/info.php?ID=1354149&DL=4309,audi
Toyota Noah Hybrid 1.8A X,92800,20890,20-Sept-18,68987,1,https://www.sgcarmart.com/used_cars/info.php?ID=1339081&DL=3613&utm_content=SLeligible,toyota
Maserati GranTurismo Sport 4.7A (COE till 11/2032),156000,19460,11-May-13,100000,6,https://www.sgcarmart.com/used_cars/info.php?ID=1355932&DL=3968&utm_content=SLeligible,maserati
Hyundai Venue 1.6A GLS S,87000,13340,7-Oct-20,60548,1,https://www.sgcarmart.com/used_cars/info.php?ID=1352852&DL=4309,hyundai
Subaru Forester 2.0i-S EyeSight Sunroof,73500,15860,28-Dec-18,90000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1349312&DL=3607,subaru
Hyundai Tucson 2.0A GLS,26800,13310,16-Mar-16,0,2,https://www.sgcarmart.com/used_cars/info.php?ID=1333502&DL=3218&utm_content=SLeligible,hyundai
BMW X3 sDrive20i M-Sport,182800,23770,28-May-21,69000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1330818&DL=1242&utm_content=SLeligible,bmw
Toyota Corolla Altis 1.6A Elegance,78800,14340,28-Aug-19,78100,2,https://www.sgcarmart.com/used_cars/info.php?ID=1328871&DL=3218&utm_content=SLeligible,toyota
Jaguar XE 2.0A i4,74800,15630,18-Apr-18,117500,2,https://www.sgcarmart.com/used_cars/info.php?ID=1356036&DL=4217,jaguar
Toyota Vellfire 2.5A Z,137800,24520,4-Jun-19,72000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1343775&DL=4382&utm_content=SLeligible,toyota
Mercedes-Benz CLA-Class CLA180 Sunroof,42000,18050,30-Jun-16,120000,3,https://www.sgcarmart.com/used_cars/info.php?ID=1356028&DL=4763,mercedes-benz
Mitsubishi Lancer 1.6A GLX (COE till 05/2028),32800,9340,23-Jun-08,0,1,https://www.sgcarmart.com/used_cars/info.php?ID=1356026&DL=2434&utm_content=SLeligible,mitsubishi
Honda Jazz 1.5A RS,25800,11890,27-Jul-16,142088,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355996&DL=2356,honda
Chevrolet Cruze 1.6A (COE till 04/2026),11300,7930,16-Jun-11,135000,4,https://www.sgcarmart.com/used_cars/info.php?ID=1355993&DL=4672,chevrolet
Maserati Levante 3.0A,220888,39400,25-Jan-19,29000,3,https://www.sgcarmart.com/used_cars/info.php?ID=1355992&DL=4354,maserati
BMW 2 Series 216i Gran Tourer,54300,12840,17-Nov-17,132247,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355991&DL=1368,bmw
Mazda 3 HB 1.5A Sunroof,62000,12990,17-Jan-19,89931,2,https://www.sgcarmart.com/used_cars/info.php?ID=1355944&DL=3597,mazda
Toyota Sienta 1.5A G,104800,15320,31-May-21,59000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1353316&DL=4025,toyota
Porsche Macan 2.0A PDK (New 10-yr COE),173000,17290,17-Jul-14,119000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1158762&DL=2633&utm_content=SLeligible,porsche
Mercedes-Benz B-Class B200 Progressive,111800,19180,17-Sept-19,78995,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355980&DL=1213,mercedes-benz
Volkswagen Passat 1.8A TFSI Sunroof,46000,13050,31-Mar-17,136000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355954&DL=1000&utm_content=SLeligible,volkswagen
Porsche Cayenne 3.0A Tip,492911,48890,3-Oct-23,10911,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355951&DL=4447,porsche
BMW 1 Series 116i Luxury,121800,16070,23-Apr-21,31800,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355857&DL=3283,bmw
Mercedes-Benz A-Class Saloon A200 Sport,120500,17270,28-Dec-20,59000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1329705&DL=1000&utm_content=SLeligible,mercedes-benz
Land Rover Range Rover Velar 2.0A Si4 R-Dynamic HSE Sunroof,166888,25040,27-Jun-19,98000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1293229&DL=4382&utm_content=SLeligible,land
Toyota Estima 2.4A Aeras 8-Seater Moonroof,26800,20760,28-May-15,75498,1,https://www.sgcarmart.com/used_cars/info.php?ID=1356016&DL=4781,toyota
Mercedes-Benz E-Class E250 Edition E Sunroof,58988,20140,29-Feb-16,0,3,https://www.sgcarmart.com/used_cars/info.php?ID=1355978&DL=4721,mercedes-benz
Mercedes-Benz E-Class E300 Cabriolet Mild Hybrid AMG Line Premium Plus Night Edition,273800,32800,24-Jun-21,45000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355967&DL=1000&utm_content=SLeligible,mercedes-benz
Lotus Emira 3.5M,488000,48130,28-Mar-23,1300,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355958&DL=4524,lotus
Mazda CX-3 2.0A Deluxe,87800,14850,30-Jan-20,27000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1348052&DL=4025&utm_content=SLeligible,mazda
BMW 1 Series 116d,29800,15250,8-Jul-16,102000,3,https://www.sgcarmart.com/used_cars/info.php?ID=1347206&DL=4025&utm_content=SLeligible,bmw
Mercedes-Benz G-Class 300GD (COE till 02/2033),84000,10190,23-Feb-23,0,2,https://www.sgcarmart.com/used_cars/info.php?ID=1356012&DL=4072,mercedes-benz
Honda Freed 1.5A G,19800,11800,29-Oct-15,76000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355972&DL=4561,honda
Nissan Elgrand 2.5A Highway Star,26888,,27-Mar-15,0,2,https://www.sgcarmart.com/used_cars/info.php?ID=1355970&DL=4381,nissan
Mercedes-Benz C-Class C180 Avantgarde,41800,18040,17-Mar-16,83200,2,https://www.sgcarmart.com/used_cars/info.php?ID=1355969&DL=4031,mercedes-benz
Audi A4 1.4A TFSI S-tronic,39800,14580,16-Sept-16,160000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355965&DL=2885,audi
Porsche Panamera 3.6A PDK (COE till 10/2032),152888,19290,29-Oct-12,108000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1355961&DL=4605&utm_content=SLeligible,porsche
BMW X6 xDrive35i Sunroof,155000,27810,23-Apr-18,160000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1355960&DL=4427,bmw
Porsche 718 Boxster 2.0A PDK,415718,39120,29-Dec-23,5718,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355959&DL=4447,porsche
Porsche Panamera 2.9A PDK,535911,52340,29-Dec-23,3911,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355956&DL=4447,porsche
Mazda 2 HB 1.5A Standard,73500,11570,7-Aug-20,48653,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355952&DL=3597,mazda
Porsche Macan 2.0A PDK,285911,34170,20-Dec-21,47911,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355950&DL=4447,porsche
Hyundai Elantra 1.6A GLS S,46800,12110,16-Apr-18,104000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355949&DL=2793,hyundai
Honda Shuttle 1.5A G LED,61800,12960,22-Apr-19,71000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355948&DL=3318,honda
Volkswagen Golf 1.4A TSI Comfortline,75800,13750,12-Sept-19,68000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1353349&DL=2900,volkswagen
Toyota Corolla Altis 1.6A (COE till 04/2026),13800,9820,24-Apr-06,0,3,https://www.sgcarmart.com/used_cars/info.php?ID=1352529&DL=2434,toyota
Toyota Yaris Cross 1.5A G,135800,14550,22-Dec-23,29000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1347620&DL=4025&utm_content=SLeligible,toyota
Nissan Qashqai 1.2A DIG-T,47800,11590,27-Feb-18,88700,2,https://www.sgcarmart.com/used_cars/info.php?ID=1343913&DL=4413&utm_content=SLeligible,nissan
Kia Cerato K3 1.6A EX,25800,11840,24-Jun-16,93000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1342992&DL=4508&utm_content=SLeligible,kia
BMW 5 Series 528i Luxury (New 10-yr COE),144800,14470,29-Jun-15,89500,3,https://www.sgcarmart.com/used_cars/info.php?ID=1328739&DL=3333&utm_content=SLeligible,bmw
Mercedes-Benz E-Class E250 Avantgarde,91800,22400,28-Apr-17,125000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1353001&DL=4508,mercedes-benz
Audi A6 Mild Hybrid 2.0A TFSI S-tronic Design,166666,21570,16-Jun-21,43000,3,https://www.sgcarmart.com/used_cars/info.php?ID=1350789&DL=4300,audi
Honda Jazz 1.5A RS,26800,13040,11-Jul-16,100800,2,https://www.sgcarmart.com/used_cars/info.php?ID=1349090&DL=1028,honda
Mercedes-Benz CLA-Class CLA180 AMG Line,137800,18750,8-Jan-21,54701,2,https://www.sgcarmart.com/used_cars/info.php?ID=1332392&DL=2224&utm_content=SLeligible,mercedes-benz
Nissan Qashqai 1.2A DIG-T,33800,11510,31-Mar-17,115000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1328907&DL=4508&utm_content=SLeligible,nissan
Kia Niro Hybrid 1.6A EX GDi DCT,141800,15430,5-Sept-23,12100,2,https://www.sgcarmart.com/used_cars/info.php?ID=1356008&DL=4413,kia
Volkswagen Golf R 5DR (COE till 03/2029),76000,17490,28-Jul-10,0,6,https://www.sgcarmart.com/used_cars/info.php?ID=1355930&DL=4343&utm_content=SLeligible,volkswagen
Audi A3 Sedan 1.4A TFSI Ambiente,18800,11310,28-Aug-15,79459,1,https://www.sgcarmart.com/used_cars/info.php?ID=1354670&DL=3417,audi
Honda Vezel Hybrid 1.5A e:HEV X Honda Sensing,123800,17050,3-Sept-21,48000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1295291&DL=4508&utm_content=SLeligible,honda
Toyota Harrier 2.0A Elegance Panoramic Roof,63888,16380,15-Nov-17,95531,3,https://www.sgcarmart.com/used_cars/info.php?ID=1292862&DL=2097&utm_content=SLeligible,toyota
Peugeot 308 SW 1.2A PureTech Allure Glass Roof,21800,10280,6-Jun-16,105000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1353258&DL=1028,peugeot
Toyota Vellfire 3.5A V (COE till 03/2029),59200,13620,17-Apr-09,0,4,https://www.sgcarmart.com/used_cars/info.php?ID=1345445&DL=3381&utm_content=SLeligible,toyota
MINI Cooper Clubman 1.6A (COE till 03/2030),65000,12170,30-Mar-10,144000,5,https://www.sgcarmart.com/used_cars/info.php?ID=1345412&DL=3137&utm_content=SLeligible,mini
Honda City 1.5A SV,22800,12420,17-Mar-16,93000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1339146&DL=1028&utm_content=SLeligible,honda
Lexus IS Hybrid IS300h Executive,107800,22330,21-Sept-18,69295,1,https://www.sgcarmart.com/used_cars/info.php?ID=1356006&DL=1360,lexus
Mitsubishi Lancer EX 1.6A,18800,13520,4-Nov-15,90000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1356005&DL=4398,mitsubishi
Porsche 911 Carrera S Coupe 3.8A PDK (COE till 10/2034),385888,38840,15-Jan-15,69888,4,https://www.sgcarmart.com/used_cars/info.php?ID=1355998&DL=3837&utm_content=SLeligible,porsche
Toyota Rav4 2.0A Premium,165800,18910,7-Oct-22,36200,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355963&DL=2549,toyota
Hyundai i30 1.4A T-GDi DCT Turbo,82800,14020,28-Feb-20,81400,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355934&DL=3722,hyundai
BMW X3 xDrive28i M-Sport Sunroof,72800,19550,28-Feb-17,95000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1355928&DL=3757,bmw
Toyota Corolla Altis 1.6A Classic (New 5-yr COE),68800,13750,6-Mar-15,61000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355883&DL=3184&utm_content=SLeligible,toyota
Mercedes-Benz GLA-Class GLA180,41800,18190,30-Jun-16,64000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355775&DL=1238,mercedes-benz
Ford Focus Wagon 1.0A GTDI Titanium,44444,10400,28-Mar-18,0,2,https://www.sgcarmart.com/used_cars/info.php?ID=1355684&DL=3137,ford
Honda Shuttle 1.5A G,44800,11250,22-Jun-18,0,2,https://www.sgcarmart.com/used_cars/info.php?ID=1353813&DL=3721,honda
Kia Carens Diesel 1.7A,52800,12990,23-Mar-18,85000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1307123&DL=1028&utm_content=SLeligible,kia
Toyota Harrier 2.0A Elegance (New 10-yr COE),129800,12970,24-Mar-15,65000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1356002&DL=1238&utm_content=SLeligible,toyota
Honda HR-V 1.5A DX,34900,12810,22-Dec-16,106670,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355922&DL=1032,honda
Mercedes-Benz C-Class C200K (COE till 04/2029),44800,10120,14-Jul-09,0,2,https://www.sgcarmart.com/used_cars/info.php?ID=1355103&DL=3495&utm_content=SLeligible,mercedes-benz
Audi Q5 2.0A TFSI Quattro (COE till 09/2029),64800,13420,24-Sept-09,76000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1353956&DL=3137&utm_content=SLeligible,audi
Mazda 3 Mild Hybrid 1.5A Classic,98800,12950,4-May-22,33872,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355921&DL=1032,mazda
Mercedes-Benz A-Class A170 (COE till 05/2028),36800,10480,1-Apr-09,0,6,https://www.sgcarmart.com/used_cars/info.php?ID=1355920&DL=3627&utm_content=SLeligible,mercedes-benz
Mercedes-Benz GLA-Class GLA200 Urban Edition (New 10-yr COE),138800,13870,17-Mar-15,113000,3,https://www.sgcarmart.com/used_cars/info.php?ID=1355839&DL=1000&utm_content=SLeligible,mercedes-benz
MINI One 1.6A (COE till 04/2026),16800,11790,30-Jun-11,165581,3,https://www.sgcarmart.com/used_cars/info.php?ID=1355628&DL=4071,mini
Mercedes-Benz C-Class C180K (COE till 04/2031),68800,10810,8-Apr-11,74000,3,https://www.sgcarmart.com/used_cars/info.php?ID=1354973&DL=3137&utm_content=SLeligible,mercedes-benz
